"Источник трафика","Источник трафика (детально)","Поисковая система","Поисковая фраза","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","","","","47998","16182","0.15504812700529189","5.504854368932039","00:07:02"
"Прямые заходы","Не определено","Не определено","Не определено","14727","5609","0.1378420588035581","5.157601683981802","00:05:30"
"Внутренние переходы","Не определено","Не определено","Не определено","10599","1216","0.05811869044249458","6.914520237758279","00:11:07"
"Переходы из поисковых систем","Google","Google","Не определено","6569","2316","0.14203075049474806","5.346171411173694","00:06:37"
"Переходы по рекламе","Google Ads","Не определено","Не определено","6426","4590","0.41238717709305944","2.179738562091503","00:01:23"
"Переходы по ссылкам на сайтах","2010.tgt-world.com","Не определено","Не определено","2676","80","0.033258594917787744","8.371823617339313","00:17:14"
"Переходы из социальных сетей","instagram.com","Не определено","Не определено","2369","1857","0.12283663993246095","5.628957365977206","00:02:57"
"Переходы из поисковых систем","Яндекс","Яндекс","Не определено","818","330","0.20293398533007334","4.1442542787286065","00:04:15"
"Переходы по ссылкам на сайтах","s-king.ru","Не определено","Не определено","606","20","0.07425742574257425","6.907590759075908","00:10:16"
"Переходы по ссылкам на сайтах","ntp.msn.com","Не определено","Не определено","317","3","0.0031545741324921135","29.95583596214511","00:24:29"
"Переходы по ссылкам на сайтах","youtube.com","Не определено","Не определено","252","239","0.5674603174603174","1.3055555555555556","00:00:30"
"Переходы по ссылкам на сайтах","css.viber.com","Не определено","Не определено","221","11","0.03619909502262444","4.886877828054299","00:10:36"
"Переходы по ссылкам на сайтах","metrika.yandex.ru","Не определено","Не определено","217","6","0.05990783410138248","5.350230414746544","00:11:43"
"Не определено","Не определено","Не определено","Не определено","177","114","0.10734463276836158","10.231638418079097","00:11:09"
"Переходы по рекламе","Другая реклама: определено по меткам","Не определено","Не определено","121","80","0.2975206611570248","3.2892561983471076","00:03:59"
"Переходы из поисковых систем","Яндекс","Яндекс","7351zb1129-714","94","1","0.05319148936170213","4.617021276595745","00:08:16"
"Переходы из поисковых систем","Яндекс","Яндекс","s-tgt","85","20","0.1176470588235294","9.094117647058823","00:08:02"
"Переходы из мессенджеров","Telegram","Не определено","Не определено","60","21","0.05","4.833333333333333","00:07:30"
"Переходы из поисковых систем","Яндекс","Яндекс","https://s-tgt.by/","55","4","0.05454545454545454","3.0","00:01:17"
"Переходы из поисковых систем","Яндекс","Яндекс","https://s-tgt","52","1","0.038461538461538464","5.326923076923077","00:07:29"
"Переходы из социальных сетей","ВКонтакте","Не определено","Не определено","48","30","0.125","5.208333333333333","00:05:37"
"Переходы по ссылкам на сайтах","e.mail.ru","Не определено","Не определено","37","14","0.1081081081081081","9.837837837837839","00:09:26"
"Переходы по ссылкам на сайтах","webmaster.yandex.ru","Не определено","Не определено","37","2","0.0","7.945945945945946","00:13:11"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт","35","20","0.14285714285714285","4.485714285714286","00:11:15"
"Переходы из поисковых систем","Яндекс","Яндекс","3891373-400","34","1","0.1176470588235294","2.823529411764706","00:03:44"
"Переходы по ссылкам на сайтах","lens.google.com","Не определено","Не определено","31","13","0.1935483870967742","3.3225806451612905","00:04:02"
"Переходы из поисковых систем","Яндекс","Яндекс","s-tgt.by","28","13","0.0","10.107142857142858","00:06:14"
"Переходы из поисковых систем","Яндекс","Яндекс","s tgt","27","5","0.037037037037037035","10.666666666666666","00:06:50"
"Переходы из поисковых систем","Яндекс","Яндекс","зао тгт","27","22","0.14814814814814814","1.7777777777777777","00:00:29"
"Переходы из поисковых систем","Яндекс","Яндекс","зао тгт минск","24","15","0.04166666666666666","10.125","00:10:29"
"Переходы из поисковых систем","Яндекс","Яндекс","rainforest black","22","1","0.09090909090909091","1.5","00:00:52"
"Переходы из поисковых систем","Яндекс","Яндекс","k16xk022-500","19","2","0.15789473684210525","3.1578947368421053","00:04:30"
"Переходы по ссылкам на сайтах","fnsports.by","Не определено","Не определено","18","12","0.1111111111111111","3.888888888888889","00:06:17"
"Переходы по ссылкам на сайтах","kelme.by","Не определено","Не определено","17","13","0.0588235294117647","7.764705882352941","00:06:13"
"Переходы из поисковых систем","Яндекс","Яндекс","s-tgt. by","17","4","0.0588235294117647","8.470588235294118","00:05:50"
"Переходы из поисковых систем","Яндекс","Яндекс","t.rydenok@s-tgt.by","17","2","0.0","7.352941176470588","00:13:20"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт бай","15","6","0.06666666666666667","2.2666666666666666","00:02:38"
"Переходы из поисковых систем","Bing","Bing","Не определено","13","12","0.23076923076923075","3.230769230769231","00:01:55"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма fn","12","1","0.0","5.916666666666667","00:07:25"
"Переходы из поисковых систем","Яндекс","Яндекс","fn спортивная одежда","11","5","0.09090909090909091","12.454545454545455","00:06:47"
"Переходы по ссылкам на сайтах","android-app","Не определено","Не определено","10","10","0.3","1.5","00:02:43"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футзалки для футбола","10","2","0.1","9.3","00:09:36"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт.бу","10","5","0.2","8.7","00:01:38"
"Переходы из поисковых систем","Яндекс","Яндекс","tgt by","9","2","0.0","13.666666666666666","00:07:01"
"Переходы из поисковых систем","Яндекс","Яндекс","экипировочный центр fn минск","9","1","0.0","3.3333333333333335","00:01:36"
"Переходы из социальных сетей","Facebook","Не определено","Не определено","9","5","0.4444444444444444","3.0","00:04:59"
"Переходы по ссылкам на сайтах","kelmeshop.ru","Не определено","Не определено","8","7","0.0","3.75","00:09:31"
"Переходы по ссылкам на сайтах","mail.bga.by","Не определено","Не определено","8","3","0.125","4.375","00:01:27"
"Переходы из поисковых систем","Яндекс","Яндекс","fn padding hacket","8","1","0.0","2.75","00:03:00"
"Переходы из поисковых систем","Яндекс","Яндекс","s tgt by","8","3","0.25","12.0","00:14:14"
"Переходы из поисковых систем","Яндекс","Яндекс","tgt.by минск","8","7","0.375","1.75","00:00:24"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт 8-25-7977777","8","1","0.0","4.125","00:06:14"
"Переходы по ссылкам на сайтах","yandex.by","Не определено","Не определено","6","6","0.33333333333333326","3.1666666666666665","00:00:45"
"Переходы из поисковых систем","Яндекс","Яндекс","6324bx1006","6","1","0.33333333333333326","1.6666666666666667","00:00:44"
"Переходы из поисковых систем","Яндекс","Яндекс","fn steam blu tgt","6","1","0.0","12.0","00:07:49"
"Переходы из поисковых систем","Яндекс","Яндекс","барьер 40 см sport folding barriers","6","1","0.0","21.666666666666668","00:13:02"
"Переходы из поисковых систем","Яндекс","Яндекс","фирма fn обувь","6","1","0.0","8.0","00:06:06"
"Переходы по ссылкам на сайтах","link.2gis.ru","Не определено","Не определено","5","5","0.0","1.2","00:00:21"
"Переходы из поисковых систем","Яндекс","Яндекс","s-tgt by","5","2","0.0","12.8","00:24:24"
"Переходы из поисковых систем","Яндекс","Яндекс","tgt","5","5","0.2","2.8","00:01:07"
"Переходы из поисковых систем","Яндекс","Яндекс","зао ""тгт""","5","5","0.4","1.4","00:00:21"
"Переходы из поисковых систем","Яндекс","Яндекс","купить снуд мужской зимний","5","1","0.0","7.8","00:02:26"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт спорт","5","1","0.2","2.6","00:05:13"
"Переходы из поисковых систем","Яндекс","Яндекс","fn4201001-000","4","1","0.25","4.75","00:02:13"
"Переходы из поисковых систем","Яндекс","Яндекс","https://s-tgt.by/product/8101bb5019-015","4","1","0.0","5.0","00:05:52"
"Переходы из поисковых систем","Яндекс","Яндекс","stgt.by","4","3","0.5","4.0","00:00:55"
